"NAME,C,254","LNG,N,19,15","LAT,N,19,15"
동래역,129.0777933,35.20596
동래역,129.078175,35.20606138
동래고등학교(낙민역),129.089512,35.200708
동래고등학교(낙민역),129.0893988,35.20065392
안락동우체국(동해선안락역),129.1007133,35.19711667
안락동우체국(동해선안락역),129.100975,35.19721333
동래한전,129.105215,35.196555
동래한전,129.1063617,35.196355
부산원동역,129.1126707,35.19455064
부산원동역,129.1121171,35.19437106
수안역(동래교차로),129.084477,35.201667
수안역(동래교차로),129.083351,35.201927
동래한전,129.105215,35.196555
동래한전,129.1063617,35.196355
부산원동역,129.1126707,35.19455064
부산원동역,129.1121171,35.19437106
수안역(동래교차로),129.084477,35.201667
수안역(동래교차로),129.083351,35.201927
원동IC교차로,129.11858,35.192935
원동IC교차로,129.1182933,35.19335769
원동IC교차로,129.1172258,35.19346648
벡스코역.올림픽교차로환승센터,129.1374006,35.16782096
동해선재송역,129.1208962,35.18876132
동해선재송역,129.1205861,35.18886588
해운대경찰서,129.12104,35.185098
해운대경찰서,129.1207701,35.18623131
동부지청어귀교차로,129.1224736,35.18272754
동부지청어귀교차로,129.1224147,35.1823591
동해선센텀역,129.1255197,35.17957415
동해선센텀역,129.1251473,35.17960322
센텀고등학교,129.1289441,35.17704483
센텀고등학교,129.128438,35.17699966
센텀센시빌,129.1314656,35.17483773
센텀센시빌,129.1310101,35.17525577
동해선벡스코역,129.1340826,35.17166466
동해선벡스코역,129.133176,35.17204109
올림픽교차로환승센터,129.1375202,35.16797017
올림픽교차로,129.1404785,35.16760003
올림픽교차로,129.1400064,35.16780212
올림픽교차로환승센터,129.1370191,35.16771058
운촌,129.1518252,35.1602888
운촌,129.1511218,35.16003996
해운대도시철도역,129.1586386,35.16357836
해운대도시철도역,129.158407,35.16332566
해운대구청어귀삼거리,129.1616568,35.16525471
해운대구청어귀삼거리,129.1617399,35.1653927
해운대구청어귀삼거리,129.1621958,35.16534044
해운대구청어귀삼거리,129.1616356,35.16533688
동백역,129.1481083,35.16144333
